DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,AB_Mix_t,Q,Cata_Code,MCS,TC_Method,TC_T,Closed_CC,TC
110000000,31.5,482.6692075,4,1001,85.43181818,70,10.5,1.1,0.7,0.056,11.5116867,93.68371636,1.05,58.8,30,0,100000,529,1,298.15,91.3694,22.26
110000000,31.5,471.0569912,4,1001,55.43869347,70,7.7,1.1,0.7,0.056,8.711546688,95.14552587,1.05,58.8,30,0,100000,558,1,298.15,91.3251,21.91
110000000,31.5,518.7677253,4,1001,107.1696629,70,13.7,1.1,0.7,0.056,14.3118267,92.26614547,1.05,58.8,30,0,100000,514,1,298.15,91.2013,19.42
110000000,31.25,300,2,1,148.1,126,10.6,1.9,1,0,10.56793674,95.58955896,1.1,44.2,30,0,100000,352,1,298.15,88.83,28.3
110000000,31.25,400,2,1,148.1,94,9.1,1.7,0.8,0,9.075941552,95.59,1.1,51.5,30,0,100000,252,1,298.15,92.68,27.2
110000000,31.25,500,2,1,148.1,75,8.2,1.5,0.76,0,8.184855234,95.59,1.1,57.1,30,0,100000,201,1,298.15,93.58,25.8
110000000,31.25,600,2,1,148.1,62,7.5,1.4,0.7,0,7.548784663,95.59,1.1,62,30,0,100000,162,1,298.15,93.51,25.9
110000000,31.25,440.9090909,2.16,1,148.1,105,9.5,1.7,0.87,0,9.534127844,95.6,0.9,48.9,30,0,100000,143,1,298.15,92.5,28.1
110000000,31.25,440.9090909,2.023,1,148.1,85,8.6,1.6,0.79,0,8.647798742,95.6,1.1,53.9,30,0,100000,144,1,298.15,92.71,27.1
110000000,31.25,441.1671924,2.986715367,1,148.1,72,8,1.5,0.73,0,8.035062089,95.6,1.3,58,30,0,100000,146,1,298.15,91.36,25.9
110000000,31,420,4.5,1001,40.71025641,90.09459459,7.135135135,1.8,1.3,0.11,9.764764765,95.75694309,1.1,59,8,0,100000,122,1,283.15,94.2,24.42
110000000,31,420,4.5,1000,18,90.09459459,3.667567568,1.8,1.3,0.11,8.808808809,96.56317126,1.1,63.9,8,0,100000,117.3,1,283.15,93.5,26.2
100000100,31.25,605.1,3.172559675,981.02,19.642,68.96551724,1.401105611,1.278103125,1.453342439,0.129487778,3.573974203,97.52610441,1,59.18367347,10,0,100100,234.264,3,293.85,87.77,18
100000100,31.25,992.4,3.358683256,981.03,19.642,42.01680672,2.10056453,1.264841595,1.346178328,0.152991111,3.424564328,97.28459652,1,70.41420118,10,0,100100,250.936,3,293.27,84.7394,17.3
100000100,31.25,692.5,3.212331989,981.02,19.642,60.24096386,1.611671862,1.272041066,1.37723873,0.137485556,3.545917634,97.31814289,1,62.40601504,10,0,100100,239.932,3,293.77,88.3995,20.2
100000100,31.25,660.2,3.218512316,981.02,19.642,63.29113924,1.418805815,1.272383308,1.383733891,0.133321111,3.57025787,97.30450418,1,61.24031008,10,0,100100,236.736,3,293.82,88.1904,19.1
100000100,31.25,660.2,3.218512316,981.02,19.642,63.29113924,1.418805815,1.272383308,1.383733891,0.133321111,3.57025787,97.30450418,1,61.24031008,10,0,100100,236.736,3,293.82,88.1904,18.2
