DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,CS(KPa)
110010000,31,403.810657,4.417820351,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.68350799,1.1,57.40272982,111.8,11.66,56.465,100000,60.776,0.002528736,1,86.4,170
101000000,31.6285,534,4.422408203,0,0,97.1,0,1.602645984,0,0,0,100,1.57,50.7,600,10,0,100000,588,0.001666667,0,74.7071,166.3
101001000,31.6135,532.8735733,4.618659881,101,148.1,97.1,0.87,1.420617169,0.049,0,0.873786408,99.55979457,1.56,50.7,600,10,0,100000,548,0.001666667,0,74.5821,146.2
101001000,31.5865,527.7136251,4.623547322,1,148.1,97.1,1.7,1.419246338,0.1,0,1.747572816,99.12578922,1.54,50.7,600,10,0,100000,448,0.001666667,0,76.3402,174.4
101001000,31.5175,522.2454763,4.625042041,1,148.1,97.1,2.6,1.422243638,0.15,0,2.621359223,98.69785387,1.53,50.7,600,10,0,100000,393,0.001666667,0,77.3195,160.9
101001000,31.351,519.0763367,4.707189244,1,148.1,97.1,3.5,1.39934759,0.2,0,3.495145631,98.27586207,1.52,50.7,600,10,0,100000,255,0.001666667,0,76.3166,135.9
101100000,31.5915,524.3828477,4.618659881,1,148.1,97.1,0.87,1.415815389,0.085383609,0,0.873786408,99.55979457,1.57,50.7,600,10,0,100000,419,0.001666667,0,76.3722,174.6
101100000,31.469,520.4022632,4.623127627,1,148.1,97.1,1.7,1.416499701,0.128343609,0,1.747572816,99.12578922,1.56,50.7,600,10,0,100000,347,0.001666667,0,77.2971,196.1
101100000,31.395,517.6685904,4.636005647,1,148.1,97.1,2.6,1.385572758,0.168883609,0,2.621359223,98.69785387,1.54,50.7,600,10,0,100000,305,0.001666667,0,79.6979,205.1
101100000,31.4,513.4070347,4.656215426,1,148.1,97.3,3.5,1.408125865,0.179783609,0,3.495145631,98.27586207,1.53,50.7,600,10,0,100000,304,0.001666667,0,77.149,157.8
110010000,31.5,424.1715521,5.110986823,101,96.31963895,72.5,1.1,1.45,0.72,0.062698444,22.77657267,88.45307918,1.1,58,1200,20,0,100000,518,0.00196064,1,97,180
110010000,31.5,424.1715521,5.133121041,101,98.58063895,72,1.08,1.44,0.72,0.062698444,22.67818575,88.4784199,1.1,58.1,1200,20,0,100000,522,0.001956842,1,97,180
110010000,31.5,424.1715521,5.078067362,101,97.10529315,72.5,1.1,1.45,0.72,0.060901333,22.77657267,88.45307918,1.1,58,1200,20,0,100000,515,0.001956867,0,97,230
110010000,31.5,424.1715521,5.10020158,101,99.36629315,72,1.08,1.44,0.72,0.060901333,22.67818575,88.4784199,1.1,58.1,1200,20,0,100000,519,0.001953069,0,97,210
110000001,31.5,406,4.3,1001,44.2799484,72.7,24.14,1.7,0.76,0.083,25.50505051,87.37894408,1.1,56.9,300,15,3.36,100000,510,0.002083333,0,94,180
110001001,31.5,390,5.7,1001,43.49429419,75,24.17,1.76,0.78,0.083,26.26105044,87.19655194,1.1,56.2,300,15,3.36,100000,460,0.002083333,0,97,140
110001001,31.5,411,7.13,1001,44.05284583,72,23.63,1.69,0.75,0.083,25.25631408,87.4401542,1.1,57.1,300,15,20.16,100000,470,0.002083333,0,99,150
110001001,31.5,405,9.9,1001,44.05284583,72.9,24.14,1.71,0.759301443,0.083,25.56314857,87.36473385,1.1,56.8,300,15,50.4,100000,430,0.002083333,0,97,150
110000001,31.5,412,4.3,1001,49.60549828,72.7,24.14,1.7,0.757002271,0.083,25.48574312,87.38367372,1.1,56.9,300,15,3.36,100000,490,0.002083333,0,91,140
110001001,31.5,397,5.7,1001,48.488395,75,24.17,1.76,0.78,0.083,26.28155087,87.19168093,1.1,56.2,300,15,3.36,100000,470,0.002083333,0,92,160
110001001,31.5,421,7.13,1001,50.60182307,72,23.42,1.67,0.74,0.083,25.04960317,87.49148554,1.1,57.3,300,15,16.8,100000,460,0.002083333,0,91,200
110001001,31.5,410,9.9,1001,44.05284583,73,23.94,1.71,0.760456274,0.083,25.60202788,87.35524257,1.1,56.8,300,15,50.4,100000,630,0.002083333,0,96.98,90
110000001,31.5,406,4.3,1001,44.05284583,72.7,24.14,1.7,0.76,0.083,25.50505051,87.37894408,1.1,56.9,300,15,3.36,100000,430,0.002083333,1,94,160
110001001,31.5,390,5.7,1001,43.49429419,75,24.17,1.76,0.78,0.083,26.26105044,87.19655194,1.1,56.2,300,15,3.36,100000,431,0.002083333,1,97,120
110001001,31.5,411,7.13,1001,44.05284583,72,23.63,1.69,0.75,0.083,25.25631408,87.4401542,1.1,57.1,300,15,20.16,100000,493,0.002083333,1,99,130
110001001,31.5,405,9.9,1001,44.05284583,72.9,24.14,1.71,0.759301443,0.083,25.56314857,87.36473385,1.1,56.8,300,15,50.4,100000,387,0.002083333,1,97,150
110000001,31.5,412,4.3,1001,49.60549828,72.7,24.14,1.7,0.757002271,0.083,25.48574312,87.38367372,1.1,56.9,300,15,3.36,100000,455,0.002083333,1,91,150
110001001,31.5,397,5.7,1001,48.488395,75,24.17,1.76,0.78,0.083,26.28155087,87.19168093,1.1,56.2,300,15,3.36,100000,382,0.002083333,1,92,160
110001001,31.5,421,7.13,1001,49.83260085,72,23.42,1.67,0.74,0.083,25.04960317,87.49148554,1.1,57.3,300,15,20.16,100000,443,0.002083333,1,91,170
110001001,31.5,410,9.9,1001,44.05284583,73,23.94,1.71,0.760456274,0.083,25.60202788,87.35524257,1.1,56.8,300,15,50.4,100000,580,0.002083333,1,96.98,70
110000000,31.582,446,4.6,1001,86.90748239,68,21.4,1.4,0.68,0.083,22.90249433,88.04026051,1.1,59.5,1200,18.26,0,100000,530,0.002083333,0,88.01,210
110000000,31.357,446,4.6,1001,85.33617398,68,21.4,1.4,0.68,0.083,22.90249433,88.04026051,1.1,59.5,1200,18.17,0,100000,499.627,0.002083333,1,88.01,150
110010000,32.6,370,3.870320856,1000,18,60,0.83,0.151,0.83,0.0764,2.02476573,98.75051632,1.06,63.8,50.15,8,23.5,100000,427,0.002868941,0,91,564
110010000,32.6,370,3.870320856,1000,18,60,0.83,0.151,0.83,0.0764,2.02476573,98.75051632,1.06,63.8,62.2,8,23.5,100000,529.5,0.002870122,1,91,452
100010000,31,445,6.157279281,1,70.1,91,18.2,1.8,0.91,0,18.18181818,91.41630901,0.94,52.4,60,15,1368,100000,248.06602,0.001666667,0,93,400
100100000,31.5,444.2,5.238045116,1000,18,84.33108677,1.83,1.450615419,0.805786055,0.056,4.468819825,98.45825011,1.05,35.4,120,10,641.52,11000,228.86102,0.001670129,0,79.3121,1015
110100000,31.5,437.0548597,4.956583095,1000,18,95.95384615,1.9,1.869446316,1.760512594,0.056,4.62962963,98.43955031,1.05,34.5,120,10,641.52,11000,277.95476,0.001795842,0,87.0432,627
