DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,AB_Mix_t,Q,Cata_Code,MCS,TC_Method,TC_T,Closed_CC,S_TC
110100000,31.5,428.5383998,5.673282963,1000,18,105.0223158,1.052631579,1.702162763,0.98366219,0.056,4.811898513,98.77070936,1.05,33.7,10,529.38,11000,294.119,1,283.15,84.6479,0.549720839
110100000,31.5,418.1309043,5.697168597,1000,18,116.6534884,1.162790698,1.703228849,0.990851079,0.056,5.01939311,98.71243379,1.05,32.8,10,529.86,11000,298.419,1,283.15,83.769,0.550658791
110000000,31.212,446,4.6,1001,60.84489676,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,16.1,0,100000,516,1,298.15,91.1,0.749295775
110010000,31.1945,435.8960504,4.432762213,1001,57.25869475,97.1,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,16.18,0,100000,448,1,298.15,89.5,0.674863388
110010000,31.1945,425.5281063,4.261154862,1001,59.53215869,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,16.29,0,100000,480,1,298.15,90.1,0.664
110010000,31.197,413.5933891,4.063614717,1001,60.87877579,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,16.4,0,100000,739,1,298.15,92.2,0.707650273
110010000,31.192,387.9340891,3.638909061,1001,60.65219138,96.5,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,16.3,0,100000,748,1,298.15,95.6,0.77247191
110000001,31.2,365.32265,2.939379759,1001,50.80670765,77.23932277,9.737502721,1.690252979,3.393101722,0.126184444,10.26934804,94.59772885,1.1,50.14228767,14,0,11010,500,1,298.15,81.9023,0.714285714
110001001,31.2,379.888541,3.31909945,1001,49.6804563,79.18078973,10.16291568,1.577852666,2.683118113,0.120335556,10.27333495,94.59115998,1.1,48.18951439,14,0,11010,420.981,1,298.15,84.2752,0.361904762
100100001,31.2,260.3316828,3.35134304,1001,51.93211705,97.57822701,20.95487949,1.913610057,3.863315454,0.107233333,21.83559827,87.91242623,1.1,49.11069086,14,0,11010,780,1,298.15,88.461,0.611111111
100101001,31.2,264.3923702,3.468476549,1001,52.13707899,96.51347132,22.86136641,1.803489204,3.850183019,0.102167778,22.16880846,88.1652149,1.1,48.2724,14,0,11010,663.42,1,298.15,88.7599,0.306807287
100010001,31.2,479.4776198,4.090772646,1001,43.66076371,61.93137047,2.148930065,1.437555618,2.19585064,0.127214444,3.847452082,96.16251959,1.1,60.84570178,14,0,11010,317.224,1,298.15,88.8526,0.524412297
100100000,31,420,6,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,110,1,283.15,82,1.202764977
110100000,31,374.8840534,7.196553367,1001,24.11935484,37.1,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,111,1,283.15,83,0.851485149
110100000,31,301.1506276,9.15209205,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,121,1,283.15,65,0.903047091
110100000,31,384.6137184,8.776462094,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,107,1,283.15,82,1.031372549
110100000,31,339.3914474,12.32467105,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,109,1,283.15,77,1
1010000000,33.6,462.2679775,6.827334894,1000,18,46.34280572,1.627264172,1.847556682,0.87055407,0.196721444,4.155509439,95.19484791,1.5,68.8536214,15,0,100000,206.24,1,298.15,71.5547,1.394422311
1010010000,33.6,458.819114,6.949168516,1000,18,46.85198648,1.648001103,1.928022514,0.87183168,0.200039222,4.160516967,94.96280469,1.5,68.5287045,15,0,100000,205,1,298.15,74.5278,1.093548387
1010010000,33.6,467.1976428,6.898917848,1000,18,47.77638216,1.650646962,1.935051508,0.876491877,0.195667778,4.168826091,95.17683546,1.5,68.13963782,15,0,100000,180,1,298.15,79.4873,0.921568627
1010010000,33.6,473.0585723,6.891816238,1000,18,47.85637227,1.645525096,1.973116434,0.854668156,0.180496667,4.16678312,94.80247365,1.5,67.99949716,15,0,100000,195,1,298.15,86.2741,0.766826923
1010010000,33.6,471.1525431,6.866816238,1000,18,48.45227262,1.633047359,2.032415143,0.838179636,0.173353333,4.166745867,95.02707873,1.5,67.34726509,15,0,100000,208,1,298.15,86.8086,0.630196937
1010010000,33.6,473.5600336,6.906721572,1000,18,48.86307063,1.640925703,2.084122544,0.83002482,0.169054444,4.166745867,94.59916796,1.5,67.16472633,15,0,100000,196,1,298.15,87.4721,0.549407115
110000000,31.5,483.2941563,4,1000,18,70,2.3,1.1,0.7,0.13,3.935752343,97.72977096,1.05,58.8,30,0,100000,423,1,298.15,89.5768,0.4504
110000000,31.5,489.7815722,4,1001,85.43181818,70,10.5,1.1,0.7,0.056,11.5116867,93.68371636,1.05,58.8,30,0,100000,529,1,298.15,91.382,0.4452
110000000,31.5,505.2465375,4,1001,55.43869347,70,7.7,1.1,0.7,0.056,8.711546688,95.14552587,1.05,58.8,30,0,100000,558,1,298.15,91.3519,0.4382
110000000,31.5,519.3420518,4,1001,107.1696629,70,13.7,1.1,0.7,0.056,14.3118267,92.26614547,1.05,58.8,30,0,100000,514,1,298.15,91.5985,0.3884
110000000,31.25,300,2,1,148.1,126,10.6,1.9,1,0,10.56793674,95.58955896,1.1,44.2,30,0,100000,352,1,298.15,88.83,0.26952381
