DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,S_CS
110010000,31.4565,387.9340891,3.638909061,1001,42.70937647,96.5,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,424.9,16,0,100000,675.99,0.001983908,1,95.6,3.679775281
100100000,32.107,615.0436342,5.241148585,1001,51.11097588,96,24.1,3.6,6.5,0,24.07897905,89.55395383,1.0293,51,60,25,0,100100,320,0.004444444,0,85.9256,5.952380952
1010000000,33.6,416.8510719,6.69370448,1000,23.42723221,97.11112677,21.55975554,1.742031084,1.175425021,0.035801778,22.51102516,88.58970005,1.5,54.67214396,476.55,15,0,100000,287.783,0.001666667,0,89.7018,1.956175299
1010010000,33.6,437.8213416,6.604518278,1000,31.94995231,96.49053961,21.25944988,1.463758963,1.172316072,0.035581778,22.12320531,88.78077686,1.5,54.82197186,510.15,15,0,100000,205,0.001666667,0,89.6227,1.825806452
1010010000,33.6,438.2353729,6.606171196,1000,32.73560652,96.49053961,21.21990614,1.458635963,1.172316072,0.035581778,21.91339551,88.80596141,1.5,54.9840089,510.15,15,0,100000,180,0.001666667,0,89.7127,1.896358543
1010010000,33.6,437.8213416,6.604518278,1000,32.73560652,96.49053961,21.21990614,1.463072856,1.172316072,0.035581778,22.02339056,88.80596141,1.5,54.82197186,510.15,15,0,100000,195,0.001666667,0,89.6227,1.870192308
1010010000,33.6,437.8213416,6.604518278,1000,31.94995231,96.49053961,21.29173559,1.463758963,1.172496276,0.035581778,22.12320531,88.78077686,1.5,54.80497186,510.15,15,0,100000,208,0.001666667,0,89.6227,1.571115974
1010010000,33.6,437.8213416,6.604518278,1000,32.73560652,96.49053961,21.21990614,1.463415909,1.172316072,0.035581778,22.0491043,88.80077686,1.5,54.82197186,510.15,15,0,100000,196,0.001666667,0,89.6227,1.375494071
110000000,31,420,4.5,1001,40.71025641,90.09459459,7.135135135,1.8,1.3,0.11,9.764764765,95.75694309,1.1,59,504.75,8,0,100000,122,0.001666667,0,94.2,7.16112532
110000000,31,420,4.5,1000,18,90.09459459,3.667567568,1.8,1.3,0.11,8.808808809,96.56317126,1.1,63.9,130,8,0,100000,117.3,0.001666667,0,93.5,7.167630058
110000000,31,420,4.5,1001,40.71025641,90.09459459,7.135135135,1.8,1.3,0.11,9.764764765,95.75694309,1.1,59,504.75,8,0,100000,157.38,0.001666667,1,94.2,4.552429668
110000000,31,420,4.5,1000,18,90.09459459,3.667567568,1.8,1.3,0.11,8.808808809,96.56317126,1.1,63.9,129.05,8,0,100000,150.1,0.001666667,1,93.5,3.641618497
110100000,31.5,395.4433017,5.52831068,1000,18,85.5,1.695,2.55,2.55,0.11,5.593220339,97.67359887,1.25,63.9,60,10,226.73,100000,566,0.001666667,0,81,5.882352941
100000100,31.25,605.1,4.693601979,1000.19,35.36056163,68.96551724,4.564353119,1.302484757,1.320115873,0.109946333,9.869550832,96.29205104,1,59.18367347,301,10,0,100100,163.33776,0.001666667,0,85.0839,3.28320802
