DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,AD(kg/m3)
110100000,31.5,418.1309043,5.265294258,1000,18,116.6534884,2.1,1.678020758,1.365305641,0.056,5.01939311,98.39761098,1.05,32.8,120,10,558.48,11000,258.9855,66.03
110000000,31.221,446,4.6,1001,59.34533795,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,312.71,16.34,0,100000,516,35.5
110010000,31.1805,435.8960504,4.432762213,1001,55.24611009,97.1,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,270.56,14.97,0,100000,448,36.6
110010000,31.1955,425.5281063,4.261154862,1001,56.4287929,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,282.36,14.96,0,100000,480,37.5
110010000,31.2055,413.5933891,4.063614717,1001,57.05869087,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,282.83,14.97,0,100000,739,36.6
110010000,31.2055,387.9340891,3.638909061,1001,56.82642092,96.5,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,282.83,14.97,0,100000,748,35.6
110000001,31.2,515.4127279,4.871652945,1001,43.12727273,53.92837312,2.028287293,1.560414506,1.345547319,0.132969111,3.345681568,97.68627547,1.1,64.00433823,11,14,0,11010,500,56
110001001,31.2,502.876343,5.084942446,1001,43.53292588,56.28145936,1.623665317,1.539496281,1.432049629,0.092131111,3.22400883,98.07304904,1.1,62.83098234,11,14,0,11010,435.027,105
100100001,31.2,262.1207855,3.882334993,1001,49.05150492,98.84590259,21.65606949,2.004487789,3.9798,0.108006667,22.78379002,89.49228631,1.1,49.123,11,14,0,11010,780,54
100101001,31.2,252.3420107,3.97973258,1001,48.04214508,95.61728661,22.76991655,1.95556146,3.9648,0.099403333,25.71954774,89.01948162,1.1,46.935,11,14,0,11010,756.34,104.3
100010001,31.2,558.6226441,4.161543785,1001,46.82696344,55.33892011,4.117620543,1.451720704,1.241856494,0.133780444,7.653222089,94.4114539,1.1,58.9956545,11,14,0,11010,392.405,55.3
100100000,31,420,6,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,60,10,888,11000,110,21.7
110100000,31,374.8840534,7.196553367,1001,24.11935484,37.1,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,60,10,888,11000,111,30.3
110100000,31,301.1506276,9.15209205,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,60,10,888,11000,121,36.1
110100000,31,384.6137184,8.776462094,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,60,10,888,11000,107,25.5
110100000,31,339.3914474,12.32467105,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,60,10,888,11000,109,28.1
100100000,31.467,363.4478216,5.5428987,1001,62.31514891,96,24.1,3.6,6.5,0,24.07897905,89.55395383,1.19144,51,60,25,0,100100,320,33.6
1010000000,33.6,404.1062055,5.215488304,1000,18.13430088,72.76608309,8.681412008,2.381312363,1.353568702,0.157869556,11.36143716,95.14607074,1.5,56.70334447,126.16,15,0,100000,296.1335,25.1
1010010000,33.6,403.7371602,5.570290227,1000,20.10826068,70.50658536,12.83615368,2.412170864,1.32187636,0.118289889,14.52399052,93.26662797,1.5,55.86336311,123.88,15,0,100000,205,31
1010010000,33.6,402.6598858,5.527902842,1000,20.10826068,70.46272526,12.84367438,2.447201638,1.319701584,0.115549889,14.41446596,93.17744373,1.5,55.84165397,127.33,15,0,100000,180,35.7
1010010000,33.6,401.924637,5.561539167,1000,20.10826068,70.48076524,12.90764187,2.43558122,1.330294317,0.113309889,14.48758295,93.11828863,1.5,55.79565397,126.98,15,0,100000,195,41.6
1010010000,33.6,402.4203407,5.673689031,1000,20.10826068,70.494566,13.1949114,2.428756455,1.321341497,0.109677667,14.52665455,93.06438277,1.5,55.83893845,121.83,15,0,100000,208,45.7
1010010000,33.6,403.4190411,5.762959886,1000,20.10826068,70.49237652,13.32693572,2.420958209,1.296119698,0.102223556,14.51264428,93.03103472,1.5,55.83721099,127.08,15,0,100000,196,50.6
110000000,31.5,456.0131057,4,1000,18,70,2.3,1.1,0.7,0.13,3.935752343,97.72977096,1.05,58.8,102.81,30,0,100000,423,50
